DateTime,TotalBalance,CurrentBalance,ProfitLoss,LatestPrice,Direction,NetBalance,NetPrice,StrategyReturn,SP500_Return
2021-05-12,10000000.0,10000000.0,0.0,4074.98999,No_Position,1.0,1.0,0.0,0.0
2021-05-13,10000000.0,10000000.0,0.0,4129.580078,No_Position,1.0,1.01,0.0,0.01
2021-05-14,10000000.0,10000000.0,0.0,4169.919922,No_Position,1.0,1.02,0.0,0.02
2021-05-17,10000000.0,10000000.0,0.0,4165.939941,No_Position,1.0,1.02,0.0,0.02
2021-05-18,10000000.0,10000000.0,0.0,4098.450195,No_Position,1.0,1.01,0.0,0.01
2021-05-19,10000000.0,10000000.0,0.0,4121.970215,No_Position,1.0,1.01,0.0,0.01
2021-05-20,10000000.0,10000000.0,0.0,4168.609863,No_Position,1.0,1.02,0.0,0.02
2021-05-21,10000000.0,10000000.0,0.0,4170.160156,No_Position,1.0,1.02,0.0,0.02
2021-05-24,10000000.0,10000000.0,0.0,4205.939941,No_Position,1.0,1.03,0.0,0.03
2021-05-25,10000000.0,10000000.0,0.0,4191.589844,No_Position,1.0,1.03,0.0,0.03
2021-05-26,10000000.0,10000000.0,0.0,4201.939941,No_Position,1.0,1.03,0.0,0.03
2021-05-27,10000000.0,10000000.0,0.0,4210.77002,No_Position,1.0,1.03,0.0,0.03
2021-05-28,10000000.0,10000000.0,0.0,4216.52002,No_Position,1.0,1.03,0.0,0.03
2021-06-01,10000000.0,10000000.0,0.0,4206.819824,No_Position,1.0,1.03,0.0,0.03
2021-06-02,10000000.0,10000000.0,0.0,4191.430176,Long,1.0,1.03,0.0,0.03
2021-06-03,10034867.815165,10000000.0,34867.815164999534,4206.049805,Long,1.0,1.03,0.0,0.03
2021-06-04,10090414.55818,10000000.0,90414.55818000057,4229.339844,Long,1.01,1.04,0.01,0.04
2021-06-07,10101076.020955002,10000000.0,101076.02095500124,4233.810059,Long,1.01,1.04,0.01,0.04
2021-06-08,10099120.73833,10000000.0,99120.73833000007,4232.990234,Long,1.01,1.04,0.01,0.04
